圖片轉換日誌 - 2025-09-15 16:21:45
目標最大寬度: 1200px, 目標最大檔案: 500 KB
================================================================================
新檔名             | 原始檔名                           | 品質       | 最終大小            | 尺寸 (WxH)
--------------------------------------------------------------------------------
001.webp        | 20250914_093723.jpg            | 90       | 365.10 KB       | 1200x1600
002.webp        | 20250914_093727.jpg            | 90       | 357.28 KB       | 1200x1600
003.webp        | 20250914_093738.jpg            | 90       | 293.14 KB       | 1200x1600
004.webp        | 20250914_093739.jpg            | 90       | 320.66 KB       | 1200x1600
005.webp        | 20250914_095907.jpg            | 95       | 379.07 KB       | 1200x1600
006.webp        | 20250914_095910.jpg            | 85       | 399.02 KB       | 1200x1600
007.webp        | 20250914_095930.jpg            | 90       | 312.67 KB       | 1200x1600
008.webp        | 20250914_095932.jpg            | 90       | 303.34 KB       | 1200x1600
009.webp        | 20250914_095935.jpg            | 90       | 320.55 KB       | 1200x1600
010.webp        | 20250914_095937.jpg            | 90       | 329.46 KB       | 1200x1600
011.webp        | 20250914_095938.jpg            | 95       | 480.33 KB       | 1200x1600
012.webp        | 20250914_095946.jpg            | 95       | 424.57 KB       | 1200x1600
013.webp        | 20250914_095949.jpg            | 90       | 333.96 KB       | 1200x1600
014.webp        | 20250914_114331.jpg            | 90       | 467.57 KB       | 1200x1600
015.webp        | 20250914_114701.jpg            | 80       | 433.35 KB       | 1200x1600
016.webp        | 20250914_114702.jpg            | 85       | 494.05 KB       | 1200x1600
017.webp        | 20250914_114811.jpg            | 85       | 473.77 KB       | 1200x1600
018.webp        | 20250914_114812.jpg            | 85       | 460.64 KB       | 1200x1600
019.webp        | 20250914_114814.jpg            | 90       | 421.08 KB       | 1200x1600
020.webp        | 20250914_114815.jpg            | 90       | 482.99 KB       | 1200x1600
021.webp        | 20250914_114816.jpg            | 90       | 309.06 KB       | 1200x1600
022.webp        | 20250914_114843.jpg            | 90       | 428.90 KB       | 1200x900
023.webp        | 20250914_114846.jpg            | 90       | 391.72 KB       | 1200x900
024.webp        | 20250914_114847.jpg            | 90       | 400.71 KB       | 1200x900
025.webp        | 20250914_120618.jpg            | 90       | 312.80 KB       | 1200x1600
026.webp        | 20250914_120621.jpg            | 90       | 395.13 KB       | 1200x1600
027.webp        | 20250914_120622.jpg            | 90       | 377.46 KB       | 1200x1600
028.webp        | 20250914_120629.jpg            | 95       | 432.27 KB       | 1200x900
029.webp        | 20250914_120632.jpg            | 95       | 431.12 KB       | 1200x900
030.webp        | 20250914_121646.jpg            | 90       | 384.18 KB       | 1200x1600
031.webp        | 20250914_121648.jpg            | 90       | 347.67 KB       | 1200x1600
032.webp        | 20250914_121652.jpg            | 90       | 363.90 KB       | 1200x1600
033.webp        | 20250914_121707.jpg            | 90       | 475.08 KB       | 1200x1600
034.webp        | 20250914_125117.jpg            | 90       | 309.41 KB       | 1200x1600
035.webp        | 20250914_125133.jpg            | 90       | 329.07 KB       | 1200x1600
036.webp        | 20250914_125137.jpg            | 90       | 313.99 KB       | 1200x1600
037.webp        | 20250914_125623.jpg            | 95       | 457.49 KB       | 1200x1600
038.webp        | 20250914_125639.jpg            | 95       | 476.92 KB       | 1200x1600
039.webp        | 20250914_125655.jpg            | 90       | 319.75 KB       | 1200x1600
040.webp        | 20250914_125706.jpg            | 90       | 351.43 KB       | 1200x1600
041.webp        | 20250914_125753.jpg            | 90       | 381.50 KB       | 1200x1600
042.webp        | 20250914_125755.jpg            | 90       | 312.95 KB       | 1200x1600
043.webp        | 20250914_131940.jpg            | 95       | 304.60 KB       | 1200x900
044.webp        | 20250914_131944.jpg            | 95       | 340.03 KB       | 1200x900
045.webp        | 20250914_132037.jpg            | 90       | 395.75 KB       | 1200x1600
046.webp        | 20250914_132044.jpg            | 90       | 410.25 KB       | 1200x1600
047.webp        | 20250914_132325.jpg            | 95       | 379.76 KB       | 1200x900
048.webp        | 20250914_132332.jpg            | 95       | 382.00 KB       | 1200x900
049.webp        | 20250914_140818.jpg            | 95       | 464.52 KB       | 1200x1600
050.webp        | 20250914_154843.jpg            | 90       | 376.60 KB       | 1200x1600
051.webp        | 20250914_154848.jpg            | 90       | 398.26 KB       | 1200x1600
052.webp        | 20250914_154902.jpg            | 90       | 361.39 KB       | 1200x1600
053.webp        | 20250914_154942.jpg            | 80       | 444.15 KB       | 1200x1600
054.webp        | 20250914_154950.jpg            | 80       | 484.88 KB       | 1200x1600
055.webp        | 20250914_154951.jpg            | 80       | 494.34 KB       | 1200x1600
056.webp        | 20250914_154952.jpg            | 80       | 482.49 KB       | 1200x1600
057.webp        | 20250914_155013.jpg            | 95       | 363.58 KB       | 1200x1600
058.webp        | 20250914_155032.jpg            | 95       | 316.89 KB       | 1200x1600
059.webp        | 20250914_155045.jpg            | 95       | 357.76 KB       | 1200x1600
060.webp        | 20250914_155049.jpg            | 95       | 197.54 KB       | 1200x900
061.webp        | 20250914_155120.jpg            | 95       | 374.79 KB       | 1200x1600
062.webp        | 20250914_155130.jpg            | 95       | 391.52 KB       | 1200x1600
063.webp        | 20250914_155143.jpg            | 95       | 207.35 KB       | 1200x900
064.webp        | 20250914_160526.jpg            | 95       | 384.64 KB       | 1200x1600
065.webp        | 20250914_161724.jpg            | 85       | 440.69 KB       | 1200x1600
066.webp        | 20250914_161729.jpg            | 85       | 423.30 KB       | 1200x1600
067.webp        | 20250914_161746.jpg            | 90       | 387.64 KB       | 1200x1600
068.webp        | 20250914_161759.jpg            | 90       | 327.68 KB       | 1200x1600
069.webp        | 20250914_161807.jpg            | 90       | 350.77 KB       | 1200x1600
070.webp        | 20250914_161815.jpg            | 90       | 330.83 KB       | 1200x1600
071.webp        | 20250914_180502.jpg            | 95       | 262.27 KB       | 1200x900
072.webp        | 20250914_180504.jpg            | 95       | 286.33 KB       | 1200x900
073.webp        | 20250914_181438.jpg            | 95       | 280.37 KB       | 1200x900
074.webp        | 20250914_181555.jpg            | 95       | 428.02 KB       | 1200x1600
075.webp        | 20250914_182405.jpg            | 95       | 274.73 KB       | 1200x900
076.webp        | 20250914_182932.jpg            | 95       | 300.54 KB       | 1200x900
077.webp        | 20250914_184627.jpg            | 95       | 302.27 KB       | 1200x900
078.webp        | 20250914_184641.jpg            | 95       | 191.48 KB       | 1200x900
079.webp        | 20250914_184730.jpg            | 95       | 304.65 KB       | 1200x900
080.webp        | 20250914_184732.jpg            | 95       | 310.25 KB       | 1200x900
081.webp        | 20250914_184856.jpg            | 95       | 230.94 KB       | 1200x900
082.webp        | 20250914_184859.jpg            | 95       | 347.64 KB       | 1200x900
083.webp        | 20250914_184920.jpg            | 95       | 257.16 KB       | 1200x900
084.webp        | 20250914_184947.jpg            | 95       | 354.38 KB       | 1200x900
085.webp        | 20250914_185110.jpg            | 95       | 235.43 KB       | 1200x900
086.webp        | 20250914_185113.jpg            | 95       | 360.88 KB       | 1200x900
087.webp        | 20250914_185123.jpg            | 95       | 327.63 KB       | 1200x900
088.webp        | 20250914_185130.jpg            | 95       | 317.60 KB       | 1200x900
089.webp        | 20250914_185131.jpg            | 95       | 316.38 KB       | 1200x900
090.webp        | 20250914_185143.jpg            | 95       | 266.95 KB       | 1200x900
091.webp        | 20250914_185223.jpg            | 95       | 246.91 KB       | 1200x1600
092.webp        | 20250914_185435.jpg            | 95       | 487.96 KB       | 1200x1600
093.webp        | 20250914_185440.jpg            | 95       | 236.10 KB       | 1200x900
094.webp        | 20250914_185448.jpg            | 95       | 277.13 KB       | 1200x900
095.webp        | 20250914_185712.jpg            | 95       | 253.33 KB       | 1200x900
096.webp        | 20250914_185910.jpg            | 95       | 300.72 KB       | 1200x900
097.webp        | 20250914_185914.jpg            | 95       | 295.09 KB       | 1200x900
098.webp        | 20250914_185916.jpg            | 95       | 294.19 KB       | 1200x900
099.webp        | 20250914_185920.jpg            | 95       | 271.17 KB       | 1200x900
100.webp        | 20250914_190753.jpg            | 95       | 346.41 KB       | 1200x900
101.webp        | 20250914_194816.jpg            | 95       | 279.52 KB       | 1200x900
102.webp        | 20250914_194818.jpg            | 95       | 275.89 KB       | 1200x900
103.webp        | 20250914_194822.jpg            | 95       | 237.74 KB       | 1200x900
104.webp        | 20250914_194830.jpg            | 95       | 138.39 KB       | 1200x900
105.webp        | 20250914_194840.jpg            | 95       | 117.17 KB       | 1200x900
106.webp        | Screenshot_20250914_124232_Samsung Notes.jpg | 95       | 60.68 KB        | 1080x2340
