圖片轉換日誌 - 2025-09-21 13:15:54
目標最大寬度: 1200px, 目標最大檔案: 500 KB
================================================================================
新檔名             | 原始檔名                           | 品質       | 最終大小            | 尺寸 (WxH)
--------------------------------------------------------------------------------
001.webp        | 1638368373977.jpg              | 95       | 109.76 KB       | 1200x916
002.webp        | 1639730816379.png              | 95       | 55.30 KB        | 1200x967
003.webp        | 1640970049660.jpg              | 95       | 60.87 KB        | 720x826
004.webp        | 1641380217017.png              | 95       | 57.25 KB        | 1200x960
005.webp        | 1641981765472.jpg              | 95       | 34.46 KB        | 731x855
006.webp        | 1645072279673.jpg              | 95       | 36.58 KB        | 723x845
007.webp        | 1650038040620.jpg              | 95       | 57.05 KB        | 1200x803
008.webp        | 1653558338942.jpg              | 95       | 46.61 KB        | 728x899
009.webp        | 1670430320032.jpg              | 95       | 44.30 KB        | 717x857
010.webp        | 20230910_164935.jpg            | 95       | 426.31 KB       | 1200x900
011.webp        | 20230924_141704.jpg            | 95       | 402.32 KB       | 1200x900
012.webp        | 20240114_132844.jpg            | 95       | 353.51 KB       | 1200x900
013.webp        | 20241103_165452.jpg            | 95       | 317.67 KB       | 1200x900
014.webp        | 475862697_615853374361157_2679721291604550953_n.jpg | 95       | 238.69 KB       | 1200x899
015.webp        | 476142641_615853387694489_2275889499379214963_n.jpg | 95       | 249.98 KB       | 1200x899
016.webp        | 476150543_615851307694697_3952336576156392057_n.jpg | 95       | 259.84 KB       | 960x1280
017.webp        | FB_IMG_1693995523597.jpg       | 95       | 182.66 KB       | 1200x900
